Day- Ahead Market Demand for year of 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Start of Day Ahead Demand Data,,,,,,,,,,,,,,,,,,,,,,,,
Date,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
1/1/2015,90496,88384,86683,86241,87147,89282,92177,95045,95933,96272,95183,93243,91608,90104,88692,88728,91867,100612,102330,101453,99823,96557,92117,87215
1/2/2015,80738,79013,78176,78050,79693,83622,90901,96002,96483,96657,96481,94643,92319,90636,89774,89170,92218,99220,99637,98042,96066,92996,89117,84177
1/3/2015,82116,80020,78539,78008,78468,80377,83998,88050,91256,93402,93612,92877,90432,88305,86613,86205,89317,95757,94649,92833,90678,87468,82439,77717
1/4/2015,72313,70045,68645,67827,67983,69034,70919,74282,77341,79920,80815,81323,81018,80300,79828,80292,83380,90418,92114,91340,90287,87460,83823,79237
1/5/2015,78651,77600,77709,78534,81479,87667,98258,104757,105816,106059,106084,105101,103622,102385,101601,101814,104982,113978,115671,114387,112670,108388,102977,96402
1/6/2015,93191,91113,90411,90821,92895,98199,108631,113338,112743,112009,111502,109819,107561,106107,104365,103994,106738,114982,116233,115033,113175,109056,103332,96948
1/7/2015,95677,94297,93602,94075,96442,102539,112990,117554,117299,117669,117832,116703,115170,114346,113958,113963,117127,127417,129752,129358,127723,124266,118401,112527
1/8/2015,109871,108720,108457,108926,111249,116937,127416,130081,128040,126154,124599,121710,118501,116591,115566,115170,117671,124623,126382,125151,122936,118305,112366,106764
1/9/2015,102929,101176,100319,100617,102218,107257,116220,119334,118240,117720,116900,115137,113520,111644,110366,110149,112329,120556,121398,120648,119131,117302,112081,107023
1/10/2015,103594,101646,100989,101237,102421,105268,109086,113508,115150,114497,113488,111269,108580,106212,104400,103874,106447,114535,115964,114533,112911,110456,106554,101870
1/11/2015,97426,95273,94121,93730,94288,96485,99380,102793,103919,102643,100172,97830,95632,93796,92266,92240,95302,103432,105359,104201,102618,99293,94818,89441
1/12/2015,86163,84169,83409,83635,85982,90963,101067,104578,104768,105339,105149,104089,102536,101602,100663,100356,102391,109171,109505,107784,105990,102502,97465,92346
1/13/2015,88369,86240,85971,86418,88793,94342,104751,110657,109445,109914,110586,109107,107448,106118,105361,105247,107818,117225,117924,117826,116257,112191,106149,100304
1/14/2015,96804,95253,94506,94632,96984,102875,113404,116599,115618,115009,114442,112412,110066,108366,107206,106845,109333,116956,117695,116783,114979,110981,105697,99422
1/15/2015,94381,92566,91877,91983,94340,99746,109870,114130,112785,110758,109870,107815,105709,103890,102380,101940,104296,112949,113814,112462,110162,106768,101265,95142
1/16/2015,89715,87732,86920,87255,89315,94781,105217,108521,107603,106330,105801,103478,101179,99923,98860,98317,100592,108959,110749,108861,107646,104746,99532,94450
1/17/2015,93121,91359,90532,90251,91147,93490,97516,101344,102949,102960,101516,99190,96317,93727,91796,91358,93939,100803,102480,100877,99396,96117,91399,86081
1/18/2015,81760,79291,77939,77225,77609,78631,81177,84275,87186,89313,89122,88874,88211,87027,86016,86252,89489,96050,97217,96481,95309,92097,87895,83782
1/19/2015,81010,79841,78996,79377,81469,86619,95017,100185,100979,100817,101143,99293,97728,96463,95404,94944,97261,105467,106832,105690,104019,100127,94588,88835
1/20/2015,84532,83038,82092,82213,84202,89770,101102,105812,103912,102493,101649,99489,97404,96579,95339,95205,97056,104888,106208,104501,102853,98978,93261,87601
1/21/2015,84730,83090,81996,82224,84496,90512,101283,105926,105545,105102,104960,103682,101835,100704,99854,99758,101835,108699,109525,107906,105436,101526,95742,89491
1/22/2015,86464,84659,83697,83713,85784,91464,102659,106244,104955,103762,102782,101090,98861,97933,96909,96914,98913,106384,107352,106186,104764,101471,96617,91041
1/23/2015,87886,86509,85794,86378,88593,94665,105554,109422,108389,106312,104859,102815,100424,99241,97806,97351,99143,106055,106635,105597,103185,99979,94920,88733
1/24/2015,83579,81440,79818,79608,80348,82439,86538,90871,94357,96345,96760,95839,93213,91548,90046,89471,91674,97287,98936,97882,96325,93325,89533,84979
1/25/2015,82334,80235,78975,78607,79035,80636,83666,86886,89315,90464,90472,90112,89201,87574,86679,86848,89671,97582,98670,98021,96741,94217,90226,85834
1/26/2015,83092,81779,81376,81980,84260,90116,101564,106074,105758,106158,106616,105666,104495,103107,102586,102297,104781,111625,112381,110846,108513,104816,99323,93674
1/27/2015,90508,88399,87971,88249,90414,96497,105821,110268,110813,111089,110521,109021,107537,106692,105556,105399,107543,114818,115219,114586,112181,109207,103820,98266
1/28/2015,97195,95705,95441,96195,98727,104733,116412,118686,117750,115802,113729,110077,106828,105160,103493,102911,105820,113979,116292,115154,113443,109895,104388,98566
1/29/2015,95705,93557,92975,93370,95270,102167,113854,116684,114442,111914,110276,107354,104828,103252,102126,101532,104037,109997,111595,109645,106896,102671,96619,90772
1/30/2015,87067,85066,84606,84894,87018,92618,103697,108309,107678,106823,106822,106151,104775,103936,103118,102920,105259,112677,113758,112877,111591,108966,104674,99973
1/31/2015,97377,95910,95070,95238,96638,99632,104180,107034,108411,107802,105771,103251,99980,97202,95371,94887,96960,104970,106852,105317,103997,100806,96709,92225
2/1/2015,89053,87204,86162,85561,85934,87748,90922,93877,95907,96731,95941,94588,93314,91744,90724,90122,92929,99818,100645,99826,98039,95153,91451,86804
2/2/2015,83614,81736,81463,81601,83713,89240,100270,105393,105766,105882,106105,105519,104707,104166,103396,103442,105743,114524,116552,116674,114964,112519,106746,102061
2/3/2015,97745,95912,95565,96565,99024,105966,118170,120246,117847,115712,113705,110938,107997,106142,104735,103638,106122,113661,116451,115818,113355,109124,103341,97050
2/4/2015,91383,89310,88233,88093,90420,95752,107467,111119,108335,105953,104631,102122,99828,98248,97090,96245,98041,103942,106949,106003,104925,101261,95752,90069
2/5/2015,88111,86436,86260,86922,89548,95585,106946,111661,110841,110845,110713,109600,108503,107986,107277,107294,109779,117551,121168,121644,121328,117945,111589,105961
2/6/2015,102364,100572,100180,100665,103060,110463,121169,122249,119862,116269,113716,109847,106266,104194,101772,100384,101947,108094,111010,110067,108812,105246,99974,94902
2/7/2015,90586,89000,87846,87201,88066,90540,94643,97384,99393,99095,96577,94224,90785,88332,86278,85118,86700,92595,96707,95544,93970,91154,86857,82297
2/8/2015,79154,76921,75537,75106,75595,77257,80675,82916,85716,87147,86334,84558,83260,82134,81321,81223,82914,89126,93106,91709,89727,86878,82537,78775
2/9/2015,76302,74730,73867,74287,76624,82157,92595,97552,98290,99208,99558,98800,97935,97283,96284,95701,97225,103373,106539,105308,103685,99782,93817,88434
2/10/2015,85183,83515,82941,83113,85480,91033,103163,107100,105562,104839,104292,102752,100832,99830,98794,98145,99656,105409,109969,108369,106732,103026,96673,91305
2/11/2015,89408,87579,87082,87527,89792,96151,107021,110344,107498,105780,104610,102187,100107,98926,97539,96754,98261,104025,109143,107311,106476,103267,97041,90623
2/12/2015,89097,87313,86661,86965,89589,95080,105635,108943,107766,106961,106615,105468,104020,103032,102302,102205,104246,111217,116903,117380,116134,112831,108066,103324
2/13/2015,101966,100605,100664,101573,103861,110086,120541,122772,121187,119205,117374,114867,111753,109521,107981,106919,108184,113221,117860,116544,114996,111285,106622,101392
2/14/2015,97673,95683,94626,94047,94674,97011,100479,103820,105752,105697,105029,102439,100060,97744,96647,96463,98370,104108,109797,109199,108596,106974,104238,101235
2/15/2015,101998,101067,101190,101561,102469,104400,108117,111479,113688,114201,113359,111891,110194,108925,108026,107925,110496,117941,122728,122492,121414,118958,115177,111309
