20140101,36
20140102,36
20140103,31
20140104,25
20140105,42
20140106,53
20140107,18
20140108,22
20140109,35
20140110,35
20140111,49
20140112,51
20140113,45
20140114,50
20140115,45
20140116,38
20140117,36
20140118,38
20140119,36
20140120,47
20140121,38
20140122,19
20140123,19
20140124,18
20140125,24
20140126,33
20140127,44
20140128,23
20140129,17
20140130,19
20140131,28
20140201,38
20140202,51
20140203,46
20140204,37
20140205,37
20140206,36
20140207,36
20140208,34
20140209,35
20140210,35
20140211,29
20140212,25
20140213,33
20140214,40
20140215,40
20140216,35
20140217,34
20140218,41
20140219,52
20140220,51
20140221,59
20140222,50
20140223,52
20140224,50
20140225,38
20140226,34
20140227,35
20140228,28
20140301,33
20140302,50
20140303,34
20140304,21
20140305,34
20140306,34
20140307,34
20140308,45
20140309,54
20140310,47
20140311,63
20140312,60
20140313,40
20140314,39
20140315,60
20140316,48
20140317,32
20140318,33
20140319,39
20140320,53
20140321,53
20140322,60
20140323,50
20140324,37
20140325,36
20140326,36
20140327,37
20140328,55
20140329,62
20140330,53
20140331,53
20140401,56
20140402,61
20140403,62
20140404,62
20140405,63
20140406,51
20140407,50
20140408,61
20140409,59
20140410,59
20140411,67
20140412,69
20140413,68
20140414,71
20140415,69
20140416,42
20140417,46
20140418,45
20140419,53
20140420,57
20140421,54
20140422,63
20140423,63
20140424,55
20140425,58
20140426,65
20140427,65
20140428,55
20140429,53
20140430,67
20140501,73
20140502,66
20140503,63
20140504,68
20140505,62
20140506,61
20140507,66
20140508,73
20140509,77
20140510,74
20140511,71
20140512,74
20140513,80
20140514,71
20140515,73
20140516,69
20140517,62
20140518,60
20140519,61
20140520,66
20140521,73
20140522,75
20140523,71
20140524,68
20140525,69
20140526,74
20140527,79
20140528,81
20140529,64
20140530,65
20140531,69
20140601,66
20140602,66
20140603,74
20140604,80
20140605,77
20140606,72
20140607,72
20140608,74
20140609,77
20140610,81
20140611,79
20140612,73
20140613,74
20140614,74
20140615,72
20140616,79
20140617,83
20140618,86
20140619,84
20140620,76
20140621,77
20140622,74
20140623,73
20140624,74
20140625,80
20140626,82
20140627,81
20140628,77
20140629,73
20140630,77
20140701,81
20140702,87
20140703,86
20140704,79
20140705,74
20140706,75
20140707,83
20140708,87
20140709,83
20140710,76
20140711,76
20140712,79
20140713,83
20140714,86
20140715,84
20140716,77
20140717,76
20140718,76
20140719,75
20140720,77
20140721,76
20140722,78
20140723,81
20140724,79
20140725,75
20140726,78
20140727,78
20140728,83
20140729,74
20140730,73
20140731,74
20140801,74
20140802,69
20140803,75
20140804,76
20140805,78
20140806,79
20140807,77
20140808,75
20140809,75
20140810,74
20140811,73
20140812,76
20140813,78
20140814,74
20140815,73
20140816,75
20140817,77
20140818,76
20140819,76
20140820,78
20140821,80
20140822,80
20140823,75
20140824,73
20140825,70
20140826,73
20140827,75
20140828,81
20140829,76
20140830,77
20140831,82
20140901,84
20140902,86
20140903,83
20140904,79
20140905,79
20140906,82
20140907,77
20140908,70
20140909,70
20140910,73
20140911,77
20140912,75
20140913,71
20140914,65
20140915,69
20140916,72
20140917,70
20140918,67
20140919,69
20140920,70
20140921,73
20140922,76
20140923,62
20140924,61
20140925,65
20140926,68
20140927,67
20140928,68
20140929,67
20140930,67
20141001,68
20141002,70
20141003,68
20141004,72
20141005,54
20141006,59
20141007,67
20141008,71
20141009,65
20141010,65
20141011,59
20141012,58
20141013,67
20141014,74
20141015,72
20141016,61
20141017,63
20141018,66
20141019,58
20141020,53
20141021,61
20141022,55
20141023,58
20141024,59
20141025,55
20141026,63
20141027,56
20141028,64
20141029,68
20141030,57
20141031,51
20141101,47
20141102,48
20141103,46
20141104,58
20141105,60
20141106,60
20141107,54
20141108,44
20141109,51
20141110,49
20141111,54
20141112,65
20141113,48
20141114,41
20141115,35
20141116,40
20141117,48
20141118,40
20141119,30
20141120,43
20141121,38
20141122,33
20141123,43
20141124,66
20141125,62
20141126,46
20141127,41
20141128,38
20141129,36
20141130,49
20141201,60
20141202,46
20141203,45
20141204,46
20141205,44
20141206,49
20141207,46
20141208,38
20141209,38
20141210,46
20141211,40
20141212,42
20141213,39
20141214,41
20141215,44
20141216,43
20141217,49
20141218,40
20141219,38
20141220,34
20141221,39
20141222,37
20141223,40
20141224,49
20141225,59
20141226,43
20141227,45
20141228,54
20141229,47
20141230,40
20141231,32
